18.46,77.58,756.54,128342.38
18.57,78.16,765.89,128259.62
18.68,78.73,775.31,128176.84
18.80,79.21,783.21,128107.86
18.90,79.79,792.75,128025.10
19.02,80.27,800.76,127956.12
19.12,80.85,810.43,127873.35
19.24,81.34,818.55,127804.38
19.34,81.92,828.35,127721.61
19.46,82.40,836.57,127652.64
19.56,82.89,844.84,127583.66
19.67,83.38,853.15,127500.90
19.78,83.96,863.20,127418.13
19.90,84.55,873.31,127349.16
20.00,85.04,881.80,127266.38
20.12,85.62,892.04,127183.61
20.24,86.21,902.36,127100.84
20.36,86.80,912.74,127031.87
20.47,87.29,921.45,126949.10
20.59,87.98,933.73,126866.33
20.70,88.48,942.56,126797.35
20.80,88.97,951.43,126728.38
20.90,89.56,962.15,126645.62
21.02,90.06,971.14,126576.64
21.13,90.65,981.98,126493.88
21.24,91.14,991.08,126424.90
21.35,91.64,1000.22,126342.12
21.47,92.23,1011.26,126273.16
21.57,92.73,1020.51,126190.38
21.69,93.32,1031.68,126121.41
21.79,93.82,1041.04,126038.63
21.91,94.42,1052.34,125955.88
22.03,95.01,1063.71,125886.89
22.13,95.51,1073.25,125817.93
22.23,96.01,1082.83,125735.15
22.35,96.61,1094.39,125666.18
22.45,97.11,1104.08,125597.21
22.55,97.71,1115.78,125514.44
22.67,98.22,1125.58,125445.46
22.77,98.72,1135.43,125362.70
22.89,99.32,1147.32,125293.72
22.99,99.93,1159.28,125210.95
23.10,100.43,1169.30,125141.98
23.20,100.94,1179.38,125073.01
23.31,101.45,1189.50,125004.02
23.41,101.95,1199.68,124935.05
23.51,102.56,1211.96,124852.28
23.62,103.07,1222.24,124783.31
23.73,103.57,1232.58,124714.33
23.83,104.18,1245.05,124631.56
23.95,104.69,1255.50,124562.59
24.05,105.30,1268.11,124479.82
24.17,105.81,1278.67,124410.84
24.27,106.31,1289.28,124328.08
24.40,106.93,1302.08,124259.11
24.50,107.44,1312.81,124176.33
24.62,108.05,1325.74,124107.37
24.72,108.66,1338.75,124024.59
24.84,109.18,1349.65,123941.83
24.96,109.79,1362.80,123872.85
25.06,110.31,1373.81,123790.07
25.18,110.92,1387.09,123707.31
25.30,111.54,1400.45,123638.33
25.40,112.06,1411.63,123569.36
25.50,112.58,1422.87,123500.39
25.60,113.20,1436.42,123417.62
25.72,113.72,1447.78,123348.64
25.82,114.34,1461.47,123265.88
25.94,114.86,1472.93,123196.91
26.04,115.37,1484.45,123114.14
26.15,116.00,1498.34,123045.16
26.25,116.51,1509.97,122976.19
26.36,117.03,1521.66,122907.22
26.46,117.55,1533.39,122824.45
26.58,118.28,1549.91,122741.67
26.70,118.80,1561.77,122672.70
26.80,119.33,1573.68,122603.73
26.90,119.95,1588.05,122520.95
27.02,120.48,1600.08,122451.98
27.12,121.11,1614.58,122369.21
27.24,121.63,1626.72,122286.45
27.36,122.27,1641.36,122203.67
27.47,122.90,1656.08,122134.70
27.58,123.43,1668.40,122065.73
27.68,123.95,1680.78,121996.75
27.79,124.48,1693.21,121927.77
27.89,125.01,1705.69,121845.01
28.01,125.64,1720.73,121776.03
28.11,126.17,1733.33,121707.05
28.21,126.81,1748.52,121624.29
28.33,127.34,1761.23,121555.32
28.43,127.97,1776.56,121472.55
28.54,128.50,1789.39,121403.57
28.65,129.04,1802.27,121334.60
28.75,129.57,1815.20,121265.63
